N,Z,A,Mass Excess (keV)
63,50,113,-88328.129
66,50,116,-91525.979
69,50,119,-90064.985
72,50,122,-89939.953
73,50,123,-87814.683
74,50,124,-88231.475
75,50,125,-85893.657
76,50,126,-86015.135
77,50,127,-83469.578
78,50,128,-83361.43
54,51,105,-64015.491
55,51,106,-66473.301
58,51,109,-76250.986
59,51,110,-77449.745
61,51,112,-81598.973
62,51,113,-84416.966
63,51,114,-84496.616
64,51,115,-87003.412
65,51,116,-86822.02
66,51,117,-88639.564
67,51,118,-87996.204
70,51,121,-89599.157
71,51,122,-88334.205
73,51,124,-87619.069
74,51,125,-88255.094
75,51,126,-86393.135
77,51,128,-84629.852
78,51,129,-84629.384
52,52,104,-49626.831
53,52,105,-52811.509
54,52,106,-58219.759
56,52,108,-65781.676
58,52,110,-72229.821
59,52,111,-73587.487
60,52,112,-77567.518
61,52,113,-78347.037
62,52,114,-81889.676
63,52,115,-82062.767
64,52,116,-85263.793
65,52,117,-85095.5
66,52,118,-87690.758
67,52,119,-87182.539
68,52,120,-89362.16
69,52,121,-88543.111
70,52,122,-90313.282
71,52,123,-89170.978
73,52,125,-89021.794
74,52,126,-90064.168
76,52,128,-88993.794
77,52,129,-87004.884
78,52,130,-87352.96
79,52,131,-85211.022
56,53,109,-57672.505
57,53,110,-60467.844
58,53,111,-64953.795
60,53,113,-71119.517
61,53,114,-72638.935
62,53,115,-76337.805
63,53,116,-77420.654
64,53,117,-80438.568
65,53,118,-80971.056
66,53,119,-83777.731
67,53,120,-83747.16
68,53,121,-86245.649
69,53,122,-86079.282
70,53,123,-87942.588
71,53,124,-87364.555
72,53,125,-88836.024
73,53,126,-87910.496
75,53,128,-87738.03
76,53,129,-88507.176
78,53,131,-87442.727
82,53,135,-83779.18
54,54,108,-42632.357
55,54,109,-46169.546
56,54,110,-51922.636
58,54,112,-60026.348
59,54,113,-62203.626
60,54,114,-67085.899
61,54,115,-68656.757
62,54,116,-73046.877
63,54,117,-74185.347
64,54,118,-78079.067
65,54,119,-78794.488
66,54,120,-82172.434
67,54,121,-82480.997
68,54,122,-85354.988
73,54,127,-88320.883
74,54,128,-89860.53427
75,54,129,-88696.06975
76,54,130,-89880.474
77,54,131,-88413.57492
78,54,132,-89278.97451
79,54,133,-87643.583
80,54,134,-88125.83443
82,54,136,-86429.17
83,54,137,-82383.414
58,55,113,-51764.539
59,55,114,-54685.928
63,55,118,-68409.377
64,55,119,-72305.061
65,55,120,-73888.649
66,55,121,-77102.342
68,55,123,-81043.657
69,55,124,-81741.06
71,55,126,-84350.683
72,55,127,-86240.027
73,55,128,-85931.773
74,55,129,-87499.05
75,55,130,-86899.754
76,55,131,-88055.574
77,55,132,-87152.693
78,55,133,-88070.943
82,55,137,-86545.772
83,55,138,-82887.028
84,55,139,-80701.088
85,55,140,-77049.738
86,55,141,-74477.351
58,56,114,-45905.437
61,56,117,-57457.906
65,56,121,-70744.847
67,56,123,-75654.963
68,56,124,-79089.786
69,56,125,-79668.976
70,56,126,-82669.913
71,56,127,-82817.955
72,56,128,-85369.156
74,56,130,-87256.776
75,56,131,-86678.958
76,56,132,-88434.903
77,56,133,-87553.512
78,56,134,-88950.002
81,56,137,-87721.401
82,56,138,-88261.806
84,56,140,-83267.905
85,56,141,-79732.492
86,56,142,-77842.257
87,56,143,-73937.205
67,57,124,-70258.617
69,57,126,-74973.476
70,57,127,-77896.116
71,57,128,-78625.439
74,57,131,-83769.265
76,57,133,-85494.392
77,57,134,-85218.659
78,57,135,-86643.458
79,57,136,-86037.488
80,57,137,-87140.865
81,57,138,-86513.408
83,57,140,-84312.059
84,57,141,-82929.844
85,57,142,-80023.95
88,57,145,-72835.325
68,58,126,-70820.565
69,58,127,-71979.344
70,58,128,-75533.925
71,58,129,-76287.504
72,58,130,-79422.913
73,58,131,-79708.448
74,58,132,-82468.688
75,58,133,-82418.223
76,58,134,-84832.898
77,58,135,-84616.308
79,58,137,-85918.765
80,58,138,-87565.867
81,58,139,-86957.741
82,58,140,-88074.227
83,58,141,-85431.058
85,58,143,-81606.378
86,58,144,-80431.942
87,58,145,-77067.059
69,59,128,-66330.764
70,59,129,-69773.566
72,59,131,-74300.664
73,59,132,-75227.464
75,59,134,-78528.0
76,59,135,-80935.872
77,59,136,-81340.421
81,59,140,-84686.227
82,59,141,-86014.533
83,59,142,-83786.367
84,59,143,-83068.2
85,59,144,-80750.588
86,59,145,-79625.99
90,59,149,-71039.373
92,59,151,-66779.681
73,60,133,-72332.38
75,60,135,-76213.62
76,60,136,-79199.297
77,60,137,-79583.969
78,60,138,-82017.182
81,60,141,-84191.52
83,60,143,-84002.31
84,60,144,-83748.028
85,60,145,-81432.004
86,60,146,-80925.916
87,60,147,-78146.794
88,60,148,-77408.066
91,60,151,-70943.183
92,60,152,-70149.663
93,60,153,-67330.38
72,61,133,-65407.653
73,61,134,-66763.908
74,61,135,-70062.329
75,61,136,-71169.923
79,61,140,-78212.046
80,61,141,-80522.932
81,61,142,-81141.536
82,61,143,-82960.664
83,61,144,-81416.116
84,61,145,-81267.506
85,61,146,-79454.36
88,61,149,-76064.404
89,61,150,-73597.336
90,61,151,-73386.26
91,61,152,-71254.468
92,61,153,-70648.003
93,61,154,-68266.602
94,61,155,-66940.006
74,62,136,-66810.899
75,62,137,-67991.655
77,62,139,-72380.229
80,62,142,-78981.93
81,62,143,-79517.135
82,62,144,-81965.626
83,62,145,-80651.407
84,62,146,-80996.36
85,62,147,-79266.048
86,62,148,-79336.067
88,62,150,-77051.336
89,62,151,-74576.48
90,62,152,-74762.977
91,62,153,-72560.059
93,62,155,-70191.206
94,62,156,-69360.735
95,62,157,-66677.654
74,63,137,-60145.904
75,63,138,-61749.676
77,63,140,-66985.945
79,63,142,-71308.93
80,63,143,-74241.311
81,63,144,-75619.175
82,63,145,-77991.524
85,63,148,-76297.482
88,63,151,-74653.098
89,63,152,-72888.5
90,63,153,-73367.466
91,63,154,-71738.367
94,63,157,-69459.134
95,63,158,-67270.461
96,63,159,-66043.386
79,64,143,-68231.311
80,64,144,-71759.511
81,64,145,-72926.626
85,64,149,-75127.173
87,64,151,-74188.92
88,64,152,-74707.304
90,64,154,-73706.358
91,64,155,-72070.298
93,64,157,-70823.896
95,64,159,-68561.857
96,64,160,-67942.06
97,64,161,-65506.142
76,65,141,-54540.843
77,65,142,-56559.522
78,65,143,-60419.192
79,65,144,-62368.188
80,65,145,-66399.693
83,65,148,-70536.947
85,65,150,-71105.789
86,65,151,-71623.541
87,65,152,-70717.304
88,65,153,-71313.61
89,65,154,-70156.707
90,65,155,-71250.439
91,65,156,-70091.01
92,65,157,-70763.848
94,65,159,-69532.582
95,65,160,-67836.474
96,65,161,-67461.778
79,66,145,-58242.607
80,66,146,-62554.928
81,66,147,-64196.047
83,66,149,-67693.99
84,66,150,-69309.618
86,66,152,-70117.963
87,66,153,-69143.197
88,66,154,-70394.015
89,66,155,-69155.939
90,66,156,-70529.386
91,66,157,-69424.669
92,66,158,-70407.152
93,66,159,-69167.22
94,66,160,-69672.425
96,66,162,-68181.169
97,66,163,-66380.858
79,67,146,-51238.227
82,67,149,-61645.854
83,67,150,-61945.892
84,67,151,-63622.746
85,67,152,-63604.636
86,67,153,-65012.074
88,67,155,-66039.799
89,67,156,-65538.403
91,67,158,-66187.396
93,67,160,-66382.425
95,67,162,-66040.563
97,67,164,-64980.517
98,67,165,-64898.017
80,68,148,-51478.997
82,68,150,-57831.323
83,68,151,-58266.29
84,68,152,-60500.218
85,68,153,-60466.682
88,68,156,-64211.683
89,68,157,-63413.648
97,68,165,-64521.353
98,68,166,-64924.145
79,69,148,-38765.034
82,69,151,-50771.613
83,69,152,-51720.279
84,69,153,-53972.61
85,69,154,-54427.142
86,69,155,-56625.921
87,69,156,-56834.417
88,69,157,-58709.279
90,69,159,-60570.404
91,69,160,-60301.037
92,69,161,-61898.715
93,69,162,-61477.482
94,69,163,-62728.413
95,69,164,-61908.943
96,69,165,-62930.024
99,69,168,-61312.379
100,69,169,-61274.654
101,69,170,-59795.314
81,70,151,-41542.352
82,70,152,-46270.386
84,70,154,-49932.093
85,70,155,-50502.614
86,70,156,-53265.538
87,70,157,-53419.912
88,70,158,-56009.62
90,70,160,-58163.227
91,70,161,-57834.248
92,70,162,-59821.163
93,70,163,-59293.878
94,70,164,-61012.171
95,70,165,-60295.388
96,70,166,-61593.706
97,70,167,-60589.9
100,70,170,-60763.929
101,70,171,-59306.818
102,70,172,-59255.456
84,71,155,-42545.056
85,71,156,-43699.55
86,71,157,-46439.818
88,71,159,-49708.609
89,71,160,-50269.942
91,71,162,-52831.759
92,71,163,-54791.415
93,71,164,-54642.376
94,71,165,-56442.248
95,71,166,-56020.987
96,71,167,-57526.281
97,71,168,-57072.832
98,71,169,-58082.527
99,71,170,-57306.234
100,71,171,-57828.465
101,71,172,-56736.076
102,71,173,-56881.014
104,71,175,-55165.678
105,71,176,-53382.333
86,72,158,-42102.399
87,72,159,-42852.606
89,72,161,-46315.817
90,72,162,-49168.426
91,72,163,-49269.32
92,72,164,-51818.356
93,72,165,-51635.513
94,72,166,-53858.989
95,72,167,-53467.761
97,72,169,-54716.895
98,72,170,-56253.86
99,72,171,-55431.351
100,72,172,-56402.232
102,72,174,-55844.583
104,72,176,-54576.428
105,72,177,-52880.745
106,72,178,-52435.366
107,72,179,-50463.036
108,72,180,-49779.476
84,73,157,-29595.948
86,73,159,-34439.157
89,73,162,-39781.405
92,73,165,-45847.872
