N,Z,A,Mass Excess (keV),A^2/3,Z(Z-1)/A^1/3,(N-Z)^2/A,(N-Z)/A,N/Z,ZEO,NEO,Zshell_category,Nshell_category,deltaZ,deltaN,proton_particles,proton_holes,neutron_particles,neutron_holes,nu_Z,nu_N,promiscuity,neighbor_N_plus_1_exists,neighbor_N_minus_1_exists,neighbor_Z_plus_1_exists,neighbor_Z_minus_1_exists
18,16,34,-29931.689,10.49508462297634,74.082950279833,0.11764705882352941,0.058823529411764705,1.125,0,0,2,2,4.0,2.0,8.0,4.0,10.0,2.0,4.0,2.0,1.3333333333333333,1,1,1,1
17,17,34,-24440.086,10.49508462297634,83.96067698381073,0.0,0.0,1.0,1,1,2,2,3.0,3.0,9.0,3.0,9.0,3.0,3.0,3.0,1.5,1,1,1,1
16,18,34,-18378.293,10.49508462297634,94.45576160678708,0.11764705882352941,-0.058823529411764705,0.8888888888888888,0,0,2,2,2.0,4.0,10.0,2.0,8.0,4.0,2.0,4.0,1.3333333333333333,1,1,1,1
23,12,35,15639.786,10.699874805650794,40.35381355274014,3.4571428571428573,0.3142857142857143,1.9166666666666667,0,1,2,3,4.0,3.0,4.0,8.0,3.0,5.0,4.0,3.0,1.7142857142857142,1,1,1,1
22,13,35,-223.73,10.699874805650794,47.69087056232926,2.3142857142857145,0.2571428571428571,1.6923076923076923,1,0,2,3,5.0,2.0,5.0,7.0,2.0,6.0,5.0,2.0,1.4285714285714286,1,1,1,1
21,14,35,-14391.48,10.699874805650794,55.63934898938413,1.4,0.2,1.5,0,1,2,3,6.0,1.0,6.0,6.0,1.0,7.0,6.0,1.0,0.8571428571428571,1,1,1,1
20,15,35,-24857.809,10.699874805650794,64.19924883390478,0.7142857142857143,0.14285714285714285,1.3333333333333333,1,0,2,3,5.0,0.0,7.0,5.0,0.0,0.0,5.0,0.0,0.0,1,1,1,1
19,16,35,-28846.21,10.699874805650794,73.37057009589117,0.2571428571428571,0.08571428571428572,1.1875,0,1,2,2,4.0,1.0,8.0,4.0,11.0,1.0,4.0,1.0,0.8,1,1,1,1
18,17,35,-29013.532,10.699874805650794,83.15331277534332,0.02857142857142857,0.02857142857142857,1.0588235294117647,1,0,2,2,3.0,2.0,9.0,3.0,10.0,2.0,3.0,2.0,1.2,1,1,1,1
17,18,35,-23047.289,10.699874805650794,93.54747687226124,0.02857142857142857,-0.02857142857142857,0.9444444444444444,0,1,2,2,2.0,3.0,10.0,2.0,9.0,3.0,2.0,3.0,1.2,1,1,1,1
16,19,35,-11172.893,10.699874805650794,104.55306238664491,0.2571428571428571,-0.08571428571428572,0.8421052631578947,1,0,2,2,1.0,4.0,11.0,1.0,8.0,4.0,1.0,4.0,0.8,1,0,1,1
24,12,36,20380.159,10.902723556992836,39.97665304230708,4.0,0.3333333333333333,2.0,0,0,2,3,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,2.0,1,1,1,0
23,13,36,5950.384,10.902723556992836,47.24513541363564,2.7777777777777777,0.2777777777777778,1.7692307692307692,1,1,2,3,5.0,3.0,5.0,7.0,3.0,5.0,5.0,3.0,1.875,1,1,1,1
22,14,36,-12436.125,10.902723556992836,55.11932464924158,1.7777777777777777,0.2222222222222222,1.5714285714285714,0,0,2,3,6.0,2.0,6.0,6.0,2.0,6.0,6.0,2.0,1.5,1,1,1,1
21,15,36,-20251.045,10.902723556992836,63.599220749124896,1.0,0.16666666666666666,1.4,1,1,2,3,5.0,1.0,7.0,5.0,1.0,7.0,5.0,1.0,0.8333333333333334,1,1,1,1
